document_id,passage_count,original_mean,shuffled_mean,original_actor_overlap_proportion,shuffled_actor_overlap_proportion
001-173091,58,0.5989977696485687,0.4643211950335586,0.8620689655172413,0.44247002997003
001-173261,81,0.5868903078138828,0.44872428642585865,0.9473684210526315,0.7942513368983957
001-173490,74,0.5886072187799297,0.4305720998510106,0.8214285714285714,0.6571139971139972
001-173800,39,0.5264183251481307,0.42452129123634413,0.8888888888888888,0.6199999999999999
001-174060,47,0.5491849695858748,0.4415714311858882,0.8333333333333334,0.9428571428571428
001-174419,121,0.5915813140571118,0.46370008326368406,0.921875,0.41776288227901126
001-174968,38,0.6208649694516852,0.48981156136739895,0.8125,0.5219047619047619
001-175007,39,0.4934727945610097,0.4227593710597016,1.0,0.0
001-175121,267,0.5907712944300103,0.43078985968814754,0.9298245614035088,0.5076354889782
001-175140,76,0.5574932154019674,0.39150160030523934,0.9032258064516129,0.9193772893772895
001-175142,59,0.6247135092472208,0.46214466190029835,0.8181818181818182,0.7106060606060607
001-175481,134,0.6158106039957445,0.45124723664835037,0.9180327868852459,0.5205291005291006
001-175669,29,0.5866758972406387,0.4056628269808633,0.8181818181818182,0.7738095238095238
001-177079,102,0.6226215071902417,0.49133685259978377,0.8055555555555556,0.5618614718614718
001-177082,179,0.5815814559379321,0.4113386633188537,0.8974358974358975,0.47703857546165596
001-177341,44,0.5365996523651966,0.39403551959021144,0.9473684210526315,0.8492063492063492
001-177665,119,0.5602735817684965,0.37083545067205514,0.8863636363636364,0.6186764705882354
001-178175,92,0.5333059837857446,0.40679544377457966,0.8857142857142857,0.7470862470862472
001-178747,44,0.5486113872638968,0.4010164193635763,0.5882352941176471,0.49333333333333335
001-178904,72,0.5267574479672271,0.37880791297156213,0.8095238095238095,0.4233766233766234
001-179228,50,0.5540037462297751,0.42926915464352583,0.9130434782608695,0.6152380952380953
001-179427,41,0.5730640582740307,0.43792114757001405,0.8235294117647058,0.6309523809523808
001-180279,81,0.5846845440566539,0.4629177686898037,0.8709677419354839,0.7422688422688423
001-180486,82,0.596236511145109,0.4361283937354147,0.75,0.67
001-180505,52,0.5792652502948162,0.3790109199490033,0.9285714285714286,0.48571428571428577
001-180838,55,0.5577787596870352,0.4172763910023841,0.9375,0.8700584795321638
001-182208,79,0.5615815408527851,0.41436587016169846,0.8292682926829268,0.4563877084014384
001-182210,73,0.5471126428908772,0.41809999418651894,0.8823529411764706,0.6981750275867923
001-182215,39,0.462892505683397,0.3422302077769449,0.72,0.7245098039215686
001-182595,62,0.5625173302947498,0.43953022969672917,0.8888888888888888,0.6097902097902097
001-182867,84,0.5957004790564617,0.4823999560022929,0.9024390243902439,0.5444124144352978
001-182868,34,0.5428199343609087,0.4574892335768902,0.6190476190476191,0.602047952047952
001-182876,44,0.5894708186388016,0.42064329985269283,0.8,0.4966666666666667
001-183296,51,0.5474881610274315,0.36539061041176313,0.85,0.5783333333333333
001-183387,84,0.5729496721402708,0.43652194347008166,0.8837209302325582,0.6728518265360371
001-183543,50,0.5762269770612523,0.4109136809499896,0.782608695652174,0.6013636363636363
001-184476,55,0.6432147020543063,0.47411004111722665,0.8947368421052632,0.4666666666666666
